Input,Output,Frequency,*Dep,SyllableContact,Contiguity,COMP-S,COMP-T
beautiful,beautiful,28,0,0,0,0,1
beautiful,beeautiful,2,1,0,1,0,0
beautiful,ebeautiful,0,1,1,0,0,0
breeze,breeze,25,0,0,0,0,1
breeze,bereeze,5,1,0,1,0,0
breeze,ebreeze,0,1,1,0,0,0
bring,bring,25,0,0,0,0,1
bring,bering,5,1,0,1,0,0
bring,ebring,0,1,1,0,0,0
brings,brings,26,0,0,0,0,1
brings,berings,4,1,0,1,0,0
brings,ebrings,0,1,1,0,0,0
brother,brother,27,0,0,0,0,1
brother,berother,3,1,0,1,0,0
brother,ebrother,0,1,1,0,0,0
bugle,bugle,16,0,0,0,0,1
bugle,beugle,0,1,0,1,0,0
bugle,ebugle,0,1,1,0,0,0
clean,clean,25,0,0,0,0,1
clean,celean,5,1,0,1,0,0
clean,eclean,0,1,1,0,0,0
creek,creek,26,0,0,0,0,1
creek,cereek,4,1,0,1,0,0
creek,ecreek,0,1,1,0,0,0
cute,cute,29,0,0,0,0,1
cute,ceyute,1,1,0,1,0,0
cute,ecute,0,1,1,0,0,0
dreaming,dreaming,25,0,0,0,0,1
dreaming,dereaming,5,1,0,1,0,0
dreaming,edreaming,0,1,1,0,0,0
drink,drink,25,0,0,0,1,0
drink,derink,5,1,0,1,0,0
drink,edrink,0,1,1,0,0,0
dwarf,dwarf,21,0,0,0,0,1
dwarf,dewarf,3,1,0,1,0,0
dwarf,edwarf,0,1,1,0,0,0
dwayne,dwayne,12,0,0,0,0,1
dwayne,dewayne,10,1,0,1,0,0
dwayne,edwayne,0,1,1,0,0,0
flickering,flickering,25,0,0,0,0,1
flickering,felickering,5,1,0,1,0,0
flickering,eflickering,0,1,1,0,0,0
flock,flock,26,0,0,0,0,1
flock,felock,4,1,0,1,0,0
flock,eflock,0,1,1,0,0,0
floor,floor,25,0,0,0,0,1
floor,feloor,5,1,0,1,0,0
floor,efloor,0,1,1,0,0,0
fly,fly,26,0,0,0,0,1
fly,fely,4,1,0,1,0,0
fly,efly,0,1,1,0,0,0
flying,flying,26,0,0,0,0,1
flying,felying,4,1,0,1,0,0
flying,eflying,0,1,1,0,0,0
freaks,freaks,26,0,0,0,0,1
freaks,fereaks,4,1,0,1,0,0
freaks,efreaks,0,1,1,0,0,0
gloves,gloves,25,0,0,0,0,1
gloves,geloves,5,1,0,1,0,0
gloves,egloves,0,1,1,0,0,0
grabs,grabs,24,0,0,0,0,1
grabs,gerabs,6,1,0,1,0,0
grabs,egrabs,0,1,1,0,0,0
ground,ground,25,0,0,0,0,1
ground,geround,5,1,0,1,0,0
ground,eground,0,1,1,0,0,0
place,place,24,0,0,0,0,1
place,pelace,6,1,0,1,0,0
place,eplace,0,1,1,0,0,0
please,please,25,0,0,0,0,1
please,pelease,5,1,0,1,0,0
please,eplease,0,1,1,0,0,0
plethora,plethora,23,0,0,0,0,1
plethora,pelethora,7,1,0,1,0,0
plethora,eplethora,0,1,1,0,0,0
quacks,quacks,24,0,0,0,0,1
quacks,qeuaks,4,1,0,1,0,0
quacks,equacks,0,1,1,0,0,0
queen,queen,27,0,0,0,0,1
queen,qeueen,3,1,0,1,0,0
queen,equeen,0,1,1,0,0,0
quickly,quickly,26,0,0,0,0,1
quickly,qeuickly,3,1,0,1,0,0
quickly,equickly,0,1,1,0,0,0
scarlett,scarlett,19,0,0,0,1,0
scarlett,secarlett,0,1,0,1,0,0
scarlett,escarlett,10,1,0,0,0,0
scoop,scoop,25,0,0,0,1,0
scoop,secoop,0,1,0,1,0,0
scoop,escoop,5,1,0,0,0,0
skeptical,skeptical,20,0,0,0,1,0
skeptical,sekeptical,0,1,0,1,0,0
skeptical,eskeptical,10,1,0,0,0,0
skin,skin,21,0,0,0,1,0
skin,sekin,0,1,0,1,0,0
skin,eskin,9,1,0,0,0,0
skip,skip,25,0,0,0,1,0
skip,sekip,0,1,0,1,0,0
skip,eskip,5,1,0,0,0,0
sleep,sleep,27,0,0,0,1,0
sleep,seleep,0,1,0,1,0,0
sleep,esleep,3,1,1,0,0,0
slips,slips,25,0,0,0,1,0
slips,selips,0,1,0,1,0,0
slips,eslips,4,1,1,0,0,0
sloth,sloth,25,0,0,0,1,0
sloth,seloth,0,1,0,1,0,0
sloth,esloth,5,1,1,0,0,0
slouched,slouched,24,0,0,0,1,0
slouched,selouched,0,1,0,1,0,0
slouched,eslouched,6,1,1,0,0,0
slow,slow,25,0,0,0,1,0
slow,selow,0,1,0,1,0,0
slow,eslow,5,1,1,0,0,0
slugs,slugs,25,0,0,0,1,0
slugs,selugs,0,1,0,1,0,0
slugs,eslugs,5,1,1,0,0,0
smacked,smacked,23,0,0,0,1,0
smacked,semacked,0,1,0,1,0,0
smacked,esmacked,7,1,1,0,0,0
small,small,48,0,0,0,1,0
small,semall,0,1,0,1,0,0
small,esmall,12,1,1,0,0,0
small,small,25,0,0,0,1,0
small,semall,0,1,0,1,0,0
small,esmall,5,1,1,0,0,0
smelling,smelling,25,0,0,0,1,0
smelling,semelling,0,1,0,1,0,0
smelling,esmelling,5,1,1,0,0,0
smiles,smiles,24,0,0,0,1,0
smiles,semiles,0,1,0,1,0,0
smiles,esmiles,5,1,1,0,0,0
smith,smith,27,0,0,0,1,0
smith,semith,0,1,0,1,0,0
smith,esmith,3,1,1,0,0,0
smog,smog,25,0,0,0,1,0
smog,semog,0,1,0,1,0,0
smog,esmog,5,1,1,0,0,0
snag,snag,24,0,0,0,1,0
snag,senag,0,1,0,1,0,0
snag,esnag,6,1,1,0,0,0
snaps,snaps,25,0,0,0,1,0
snaps,senps,0,1,0,1,0,0
snaps,esnaps,5,1,1,0,0,0
snatch,snatch,23,0,0,0,1,0
snatch,senatch,0,1,0,1,0,0
snatch,esnatch,7,1,1,0,0,0
sniffs,sniffs,25,0,0,0,1,0
sniffs,seniffs,0,1,0,1,0,0
sniffs,esniffs,5,1,1,0,0,0
snips,snips,24,0,0,0,1,0
snips,senips,0,1,0,1,0,0
snips,esnips,6,1,1,0,0,0
snoops,snoops,26,0,0,0,1,0
snoops,senoops,0,1,0,1,0,0
snoops,esnoops,4,1,1,0,0,0
snow,snow,24,0,0,0,1,0
snow,senow,0,1,0,1,0,0
snow,esnow,6,1,1,0,0,0
spark,spark,22,0,0,0,1,0
spark,separk,0,1,0,1,0,0
spark,espark,8,1,0,0,0,0
speed,speed,40,0,0,0,1,0
speed,sepeed,0,1,0,1,0,0
speed,espeed,11,1,0,0,0,0
start,start,27,0,0,0,1,0
start,setart,0,1,0,1,0,0
start,estart,10,1,0,0,0,0
starts,starts,24,0,0,0,1,0
starts,setarts,0,1,0,1,0,0
starts,estarts,6,1,0,0,0,0
steps,steps,26,0,0,0,1,0
steps,seteps,0,1,0,1,0,0
steps,esteps,4,1,0,0,0,0
stop,stop,28,0,0,0,1,0
stop,setop,2,1,0,1,0,0
stop,estop,0,1,0,0,0,0
swats,swats,25,0,0,0,1,0
swats,sewats,4,1,0,1,0,0
swats,eswats,0,1,1,0,0,0
sweeping,sweeping,28,0,0,0,1,0
sweeping,seweeping,1,1,0,1,0,0
sweeping,esweeping,1,1,1,0,0,0
sweeps,sweeps,27,0,0,0,1,0
sweeps,seweeps,2,1,0,1,0,0
sweeps,esweeps,1,1,1,0,0,0
swim,swim,25,0,0,0,1,0
swim,sewim,5,1,0,1,0,0
swim,eswim,0,1,1,0,0,0
swoon,swoon,24,0,0,0,1,0
swoon,sewoon,5,1,0,1,0,0
swoon,eswoon,0,1,1,0,0,0
thrashing,thrashing,24,0,0,0,0,1
thrashing,therashing,6,1,0,1,0,0
thrashing,ethrashing,0,1,1,0,0,0
thread,thread,25,0,0,0,0,1
thread,theread,5,1,0,1,0,0
thread,ethread,0,1,1,0,0,0
three,three,24,0,0,0,0,1
three,theree,3,1,0,1,0,0
three,ethree,0,1,1,0,0,0
throttle,throttle,26,0,0,0,0,1
throttle,therottle,4,1,0,1,0,0
throttle,ethrottle,0,1,1,0,0,0
trot,trot,26,0,0,0,0,1
trot,terot,3,1,0,1,0,0
trot,etrot,0,1,1,0,0,0
tweaking,tweaking,25,0,0,0,0,1
tweaking,teweaking,5,1,0,1,0,0
tweaking,etweaking,0,1,1,0,0,0
twin,twin,26,0,0,0,0,1
twin,tewin,3,1,0,1,0,0
twin,etwin,0,1,1,0,0,0
twitches,twitches,0,0,0,0,0,1
twitches,tewitches,0,1,0,1,0,0
twitches,etwitches,0,1,1,0,0,0