"Input","Output","Frequency","SyllableContact_4","SyllableContact_3","SyllableContact_2","SyllableContact_1","SyllableContact_-1","SyllableContact_-2","SyllableContact_-3","SyllableContact_-4","SyllableContact_-5","*Complex","Dep","Contiguity"
"beautiful","beautiful-none","28","","","","","","","","","","1","",""
"beautiful","beautiful-anaptyxis","2","","","","","1","","","","","","1","1"
"beautiful","beautiful-prothesis","0","1","","","","","","","","","","1",""
"breeze","breeze-none","25","","","","","","","","","","1","",""
"breeze","breeze-anaptyxis","5","","","","","","1","","","","","1","1"
"breeze","breeze-prothesis","0","","1","","","","","","","","","1",""
"bring","bring-none","25","","","","","","","","","","1","",""
"bring","bring-anaptyxis","5","","","","","","1","","","","","1","1"
"bring","bring-prothesis","0","","1","","","","","","","","","1",""
"brings","brings-none","26","","","","","","","","","","1","",""
"brings","brings-anaptyxis","4","","","","","","1","","","","","1","1"
"brings","brings-prothesis","0","","1","","","","","","","","","1",""
"brother","brother-none","27","","","","","","","","","","1","",""
"brother","brother-anaptyxis","3","","","","","","1","","","","","1","1"
"brother","brother-prothesis","0","","1","","","","","","","","","1",""
"bugle","bugle-none","16","","","","","","","","","","1","",""
"bugle","bugle-anaptyxis","0","","","","","1","","","","","","1","1"
"bugle","bugle-prothesis","0","1","","","","","","","","","","1",""
"clean","clean-none","25","","","","","","","","","","1","",""
"clean","clean-anaptyxis","5","","","","","","1","","","","","1","1"
"clean","clean-prothesis","0","","1","","","","","","","","","1",""
"creek","creek-none","26","","","","","","","","","","1","",""
"creek","creek-anaptyxis","4","","","","","","1","","","","","1","1"
"creek","creek-prothesis","0","","1","","","","","","","","","1",""
"cute","cute-none","29","","","","","","","","","","1","",""
"cute","cute-anaptyxis","1","","","","","1","","","","","","1","1"
"cute","cute-prothesis","0","1","","","","","","","","","","1",""
"dreaming","dreaming-none","25","","","","","","","","","","1","",""
"dreaming","dreaming-anaptyxis","5","","","","","","1","","","","","1","1"
"dreaming","dreaming-prothesis","0","","1","","","","","","","","","1",""
"drink","drink-none","25","","","","","","","","","","1","",""
"drink","drink-anaptyxis","5","","","","","","1","","","","","1","1"
"drink","drink-prothesis","0","","1","","","","","","","","","1",""
"dwarf","dwarf-none","21","","","","","","","","","","1","",""
"dwarf","dwarf-anaptyxis","3","","","","","1","","","","","","1","1"
"dwarf","dwarf-prothesis","0","1","","","","","","","","","","1",""
"dwayne","dwayne-none","12","","","","","","","","","","1","",""
"dwayne","dwayne-anaptyxis","10","","","","","1","","","","","","1","1"
"dwayne","dwayne-prothesis","0","1","","","","","","","","","","1",""
"flickering","flickering-none","25","","","","","","","","","","1","",""
"flickering","flickering-anaptyxis","5","","","","","","1","","","","","1","1"
"flickering","flickering-prothesis","0","","","1","","","","","","","","1",""
"flock","flock-none","26","","","","","","","","","","1","",""
"flock","flock-anaptyxis","4","","","","","","1","","","","","1","1"
"flock","flock-prothesis","0","","","1","","","","","","","","1",""
"floor","floor-none","25","","","","","","","","","","1","",""
"floor","floor-anaptyxis","5","","","","","","1","","","","","1","1"
"floor","floor-prothesis","0","","","1","","","","","","","","1",""
"fly","fly-none","26","","","","","","","","","","1","",""
"fly","fly-anaptyxis","4","","","","","","1","","","","","1","1"
"fly","fly-prothesis","0","","","1","","","","","","","","1",""
"flying","flying-none","26","","","","","","","","","","1","",""
"flying","flying-anaptyxis","4","","","","","","1","","","","","1","1"
"flying","flying-prothesis","0","","","1","","","","","","","","1",""
"freaks","freaks-none","26","","","","","","","","","","1","",""
"freaks","freaks-anaptyxis","4","","","","","","1","","","","","1","1"
"freaks","freaks-prothesis","0","","","1","","","","","","","","1",""
"gloves","gloves-none","25","","","","","","","","","","1","",""
"gloves","gloves-anaptyxis","5","","","","","","1","","","","","1","1"
"gloves","gloves-prothesis","0","","1","","","","","","","","","1",""
"grabs","grabs-none","24","","","","","","","","","","1","",""
"grabs","grabs-anaptyxis","6","","","","","","1","","","","","1","1"
"grabs","grabs-prothesis","0","","1","","","","","","","","","1",""
"ground","ground-none","25","","","","","","","","","","1","",""
"ground","ground-anaptyxis","5","","","","","","1","","","","","1","1"
"ground","ground-prothesis","0","","1","","","","","","","","","1",""
"place","place-none","24","","","","","","","","","","1","",""
"place","place-anaptyxis","6","","","","","","1","","","","","1","1"
"place","place-prothesis","0","","1","","","","","","","","","1",""
"please","please-none","25","","","","","","","","","","1","",""
"please","please-anaptyxis","5","","","","","","1","","","","","1","1"
"please","please-prothesis","0","","1","","","","","","","","","1",""
"plethora","plethora-none","23","","","","","","","","","","1","",""
"plethora","plethora-anaptyxis","7","","","","","","1","","","","","1","1"
"plethora","plethora-prothesis","0","","1","","","","","","","","","1",""
"quacks","quacks-none","24","","","","","","","","","","1","",""
"quacks","quacks-anaptyxis","4","","","","","1","","","","","","1","1"
"quacks","quacks-prothesis","0","1","","","","","","","","","","1",""
"queen","queen-none","27","","","","","","","","","","1","",""
"queen","queen-anaptyxis","3","","","","","1","","","","","","1","1"
"queen","queen-prothesis","0","1","","","","","","","","","","1",""
"quickly","quickly-none","26","","","","","","","","","","1","",""
"quickly","quickly-anaptyxis","3","","","","","1","","","","","","1","1"
"quickly","quickly-prothesis","0","1","","","","","","","","","","1",""
"scarlett","scarlett-none","19","","","","","","","","","","1","",""
"scarlett","scarlett-anaptyxis","0","","","","","","","","","1","","1","1"
"scarlett","scarlett-prothesis","10","","","","","1","","","","","","1",""
"scoop","scoop-none","25","","","","","","","","","","1","",""
"scoop","scoop-anaptyxis","0","","","","","","","","","1","","1","1"
"scoop","scoop-prothesis","5","","","","","1","","","","","","1",""
"skeptical","skeptical-none","20","","","","","","","","","","1","",""
"skeptical","skeptical-anaptyxis","0","","","","","","","","","1","","1","1"
"skeptical","skeptical-prothesis","10","","","","","1","","","","","","1",""
"skin","skin-none","21","","","","","","","","","","1","",""
"skin","skin-anaptyxis","0","","","","","","","","","1","","1","1"
"skin","skin-prothesis","9","","","","","1","","","","","","1",""
"skip","skip-none","25","","","","","","","","","","1","",""
"skip","skip-anaptyxis","0","","","","","","","","","1","","1","1"
"skip","skip-prothesis","5","","","","","1","","","","","","1",""
"sleep","sleep-none","27","","","","","","","","","","1","",""
"sleep","sleep-anaptyxis","0","","","","","","1","","","","","1","1"
"sleep","sleep-prothesis","3","","","1","","","","","","","","1",""
"slips","slips-none","25","","","","","","","","","","1","",""
"slips","slips-anaptyxis","0","","","","","","1","","","","","1","1"
"slips","slips-prothesis","4","","","1","","","","","","","","1",""
"sloth","sloth-none","25","","","","","","","","","","1","",""
"sloth","sloth-anaptyxis","0","","","","","","1","","","","","1","1"
"sloth","sloth-prothesis","5","","","1","","","","","","","","1",""
"slouched","slouched-none","24","","","","","","","","","","1","",""
"slouched","slouched-anaptyxis","0","","","","","","1","","","","","1","1"
"slouched","slouched-prothesis","6","","","1","","","","","","","","1",""
"slow","slow-none","25","","","","","","","","","","1","",""
"slow","slow-anaptyxis","0","","","","","","1","","","","","1","1"
"slow","slow-prothesis","5","","","1","","","","","","","","1",""
"slugs","slugs-none","25","","","","","","","","","","1","",""
"slugs","slugs-anaptyxis","0","","","","","","1","","","","","1","1"
"slugs","slugs-prothesis","5","","","1","","","","","","","","1",""
"smacked","smacked-none","23","","","","","","","","","","1","",""
"smacked","smacked-anaptyxis","0","","","","","","","1","","","","1","1"
"smacked","smacked-prothesis","7","","","","1","","","","","","","1",""
"small","small-none","48","","","","","","","","","","1","",""
"small","small-anaptyxis","0","","","","","","","1","","","","1","1"
"small","small-prothesis","12","","","","1","","","","","","","1",""
"smelling","smelling-none","25","","","","","","","","","","1","",""
"smelling","smelling-anaptyxis","0","","","","","","","1","","","","1","1"
"smelling","smelling-prothesis","5","","","","1","","","","","","","1",""
"smiles","smiles-none","25","","","","","","","","","","1","",""
"smiles","smiles-anaptyxis","0","","","","","","","1","","","","1","1"
"smiles","smiles-prothesis","5","","","","1","","","","","","","1",""
"smith","smith-none","24","","","","","","","","","","1","",""
"smith","smith-anaptyxis","0","","","","","","","1","","","","1","1"
"smith","smith-prothesis","5","","","","1","","","","","","","1",""
"smog","smog-none","27","","","","","","","","","","1","",""
"smog","smog-anaptyxis","0","","","","","","","1","","","","1","1"
"smog","smog-prothesis","3","","","","1","","","","","","","1",""
"snag","snag-none","25","","","","","","","","","","1","",""
"snag","snag-anaptyxis","0","","","","","","","1","","","","1","1"
"snag","snag-prothesis","5","","","","1","","","","","","","1",""
"snaps","snaps-none","24","","","","","","","","","","1","",""
"snaps","snaps-anaptyxis","0","","","","","","","1","","","","1","1"
"snaps","snaps-prothesis","6","","","","1","","","","","","","1",""
"snatch","snatch-none","25","","","","","","","","","","1","",""
"snatch","snatch-anaptyxis","0","","","","","","","1","","","","1","1"
"snatch","snatch-prothesis","5","","","","1","","","","","","","1",""
"sniffs","sniffs-none","23","","","","","","","","","","1","",""
"sniffs","sniffs-anaptyxis","0","","","","","","","1","","","","1","1"
"sniffs","sniffs-prothesis","7","","","","1","","","","","","","1",""
"snips","snips-none","25","","","","","","","","","","1","",""
"snips","snips-anaptyxis","0","","","","","","","1","","","","1","1"
"snips","snips-prothesis","5","","","","1","","","","","","","1",""
"snoops","snoops-none","24","","","","","","","","","","1","",""
"snoops","snoops-anaptyxis","0","","","","","","","1","","","","1","1"
"snoops","snoops-prothesis","6","","","","1","","","","","","","1",""
"snow","snow-none","26","","","","","","","","","","1","",""
"snow","snow-anaptyxis","0","","","","","","","1","","","","1","1"
"snow","snow-prothesis","4","","","","1","","","","","","","1",""
"spark","spark-none","24","","","","","","","","","","1","",""
"spark","spark-anaptyxis","0","","","","","","","","","1","","1","1"
"spark","spark-prothesis","6","","","","","1","","","","","","1",""
"speed","speed-none","22","","","","","","","","","","1","",""
"speed","speed-anaptyxis","0","","","","","","","","","1","","1","1"
"speed","speed-prothesis","8","","","","","1","","","","","","1",""
"start","start-none","40","","","","","","","","","","1","",""
"start","start-anaptyxis","0","","","","","","","","","1","","1","1"
"start","start-prothesis","11","","","","","1","","","","","","1",""
"starts","starts-none","27","","","","","","","","","","1","",""
"starts","starts-anaptyxis","0","","","","","","","","","1","","1","1"
"starts","starts-prothesis","10","","","","","1","","","","","","1",""
"steps","steps-none","24","","","","","","","","","","1","",""
"steps","steps-anaptyxis","0","","","","","","","","","1","","1","1"
"steps","steps-prothesis","6","","","","","1","","","","","","1",""
"stop","stop-none","26","","","","","","","","","","1","",""
"stop","stop-anaptyxis","0","","","","","","","","","1","","1","1"
"stop","stop-prothesis","4","","","","","1","","","","","","1",""
"swats","swats-none","28","","","","","","","","","","1","",""
"swats","swats-anaptyxis","2","","","","","1","","","","","","1","1"
"swats","swats-prothesis","0","","1","","","","","","","","","1",""
"sweeping","sweeping-none","25","","","","","","","","","","1","",""
"sweeping","sweeping-anaptyxis","4","","","","","1","","","","","","1","1"
"sweeping","sweeping-prothesis","0","","1","","","","","","","","","1",""
"sweeps","sweeps-none","28","","","","","","","","","","1","",""
"sweeps","sweeps-anaptyxis","1","","","","","1","","","","","","1","1"
"sweeps","sweeps-prothesis","1","","1","","","","","","","","","1",""
"swim","swim-none","27","","","","","","","","","","1","",""
"swim","swim-anaptyxis","2","","","","","1","","","","","","1","1"
"swim","swim-prothesis","1","","1","","","","","","","","","1",""
"swoon","swoon-none","25","","","","","","","","","","1","",""
"swoon","swoon-anaptyxis","5","","","","","1","","","","","","1","1"
"swoon","swoon-prothesis","0","","1","","","","","","","","","1",""
"thrashing","thrashing-none","24","","","","","","","","","","1","",""
"thrashing","thrashing-anaptyxis","5","","","","","","1","","","","","1","1"
"thrashing","thrashing-prothesis","0","","","1","","","","","","","","1",""
"thread","thread-none","24","","","","","","","","","","1","",""
"thread","thread-anaptyxis","6","","","","","","1","","","","","1","1"
"thread","thread-prothesis","0","","","1","","","","","","","","1",""
"three","three-none","25","","","","","","","","","","1","",""
"three","three-anaptyxis","5","","","","","","1","","","","","1","1"
"three","three-prothesis","0","","","1","","","","","","","","1",""
"throttle","throttle-none","24","","","","","","","","","","1","",""
"throttle","throttle-anaptyxis","3","","","","","","1","","","","","1","1"
"throttle","throttle-prothesis","0","","","1","","","","","","","","1",""
"trot","trot-none","26","","","","","","","","","","1","",""
"trot","trot-anaptyxis","4","","","","","","1","","","","","1","1"
"trot","trot-prothesis","0","","1","","","","","","","","","1",""
"tweaking","tweaking-none","26","","","","","","","","","","1","",""
"tweaking","tweaking-anaptyxis","3","","","","","1","","","","","","1","1"
"tweaking","tweaking-prothesis","0","1","","","","","","","","","","1",""
"twin","twin-none","25","","","","","","","","","","1","",""
"twin","twin-anaptyxis","5","","","","","1","","","","","","1","1"
"twin","twin-prothesis","0","1","","","","","","","","","","1",""
"twitches","twitches-none","26","","","","","","","","","","1","",""
"twitches","twitches-anaptyxis","3","","","","","1","","","","","","1","1"
"twitches","twitches-prothesis","0","1","","","","","","","","","","1",""
